index,lat,lon,avg_pm25,risk
230,30.35,78.055,24.164364779874212,LOW
231,30.3121,78.0432,34.383677148846964,LOW
232,30.3272,78.0612,18.839366876310272,LOW
233,30.3348,77.9962,33.29519077568134,LOW
234,30.3215,78.041,26.871486373165617,LOW
235,30.362,78.048,23.10503983228512,LOW
236,30.385,78.065,25.9197106918239,LOW
237,29.9582,78.1642,23.310075471698113,LOW
238,29.92,78.14,34.75327463312369,LOW
239,29.945,78.155,22.17938155136268,LOW
240,29.98,78.135,25.075744234800844,LOW
241,29.965,78.12,25.248872117400417,LOW
242,29.946,78.162,22.17938155136268,LOW
243,29.93,78.15,17.09061215932914,LOW
244,29.91,78.125,35.5919748427673,LOW
245,30.127,78.324,21.078775681341718,LOW
246,30.1058,78.2983,21.358999999999998,LOW
247,30.095,78.28,28.776658280922433,LOW
248,30.118,78.305,14.674285115303983,LOW
249,30.102,78.3,21.358999999999998,LOW
250,30.08,78.275,29.060725366876312,LOW
251,30.072,78.29,31.020146750524106,LOW
252,30.3398,78.0644,25.332410901467508,LOW
253,30.3165,78.0322,25.635656184486372,LOW
254,30.3245,78.0425,26.871486373165617,LOW
255,30.275,78.02,30.354331236897277,LOW
256,30.3058,77.9958,18.319446540880502,LOW
257,30.36,77.98,28.735274633123687,LOW
258,30.35,78.055,24.164364779874212,LOW
259,30.3121,78.0432,34.383677148846964,LOW
260,30.3272,78.0612,18.839366876310272,LOW
261,30.3348,77.9962,33.29519077568134,LOW
262,30.3215,78.041,26.871486373165617,LOW
263,30.362,78.048,23.10503983228512,LOW
264,30.385,78.065,25.9197106918239,LOW
265,29.9582,78.1642,23.310075471698113,LOW
266,29.92,78.14,34.75327463312369,LOW
267,29.945,78.155,22.17938155136268,LOW
268,29.98,78.135,25.075744234800844,LOW
269,29.965,78.12,25.248872117400417,LOW
270,29.946,78.162,22.17938155136268,LOW
271,29.93,78.15,17.09061215932914,LOW
272,29.91,78.125,35.5919748427673,LOW
273,30.127,78.324,21.078775681341718,LOW
274,30.1058,78.2983,21.358999999999998,LOW
275,30.095,78.28,28.776658280922433,LOW
276,30.118,78.305,14.674285115303983,LOW
277,30.102,78.3,21.358999999999998,LOW
278,30.08,78.275,29.060725366876312,LOW
279,30.072,78.29,31.020146750524106,LOW
280,30.3398,78.0644,25.332410901467508,LOW
281,30.3165,78.0322,25.635656184486372,LOW
282,30.3245,78.0425,26.871486373165617,LOW
283,30.275,78.02,30.354331236897277,LOW
284,30.3058,77.9958,18.319446540880502,LOW
285,30.36,77.98,28.735274633123687,LOW
286,30.35,78.055,24.164364779874212,LOW
287,30.3121,78.0432,34.383677148846964,LOW
288,30.3272,78.0612,18.839366876310272,LOW
289,30.3348,77.9962,33.29519077568134,LOW
290,30.3215,78.041,26.871486373165617,LOW
291,30.362,78.048,23.10503983228512,LOW
292,30.385,78.065,25.9197106918239,LOW
293,29.9582,78.1642,23.310075471698113,LOW
294,29.92,78.14,34.75327463312369,LOW
295,29.945,78.155,22.17938155136268,LOW
